Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Gender,Churn
44605,2023-05-03 21:30:02,Home,177,1,2427,PayPal,31,1.0,Female,0
44605,2021-05-16 13:57:44,Electronics,174,3,2448,PayPal,31,1.0,Female,0
44605,2020-07-13 06:16:57,Books,413,1,2345,Credit Card,31,1.0,Female,0
44605,2023-01-17 13:14:36,Electronics,396,3,937,Cash,31,0.0,Female,0
44605,2021-05-01 11:29:27,Books,259,4,2598,PayPal,31,1.0,Female,0
13738,2022-08-25 06:48:33,Home,191,3,3722,Credit Card,27,1.0,Female,0
13738,2023-07-25 05:17:24,Electronics,205,1,2773,Credit Card,27,0.0,Female,0
13738,2023-02-05 19:31:48,Books,370,5,1486,Cash,27,1.0,Female,0
13738,2021-12-21 03:29:05,Home,12,2,2175,Cash,27,0.0,Female,0
13738,2023-02-09 00:53:14,Electronics,40,4,4327,Cash,27,0.0,Female,0
33969,2023-02-28 19:58:23,Clothing,410,3,5018,Credit Card,27,0.0,Male,0
33969,2023-01-05 11:15:27,Home,304,1,3883,PayPal,27,1.0,Male,0
33969,2023-07-18 23:36:50,Books,54,2,4187,PayPal,27,0.0,Male,0
33969,2021-12-20 23:44:57,Electronics,428,4,2289,Cash,27,0.0,Male,0
33969,2020-03-07 21:31:35,Books,281,1,3810,Cash,27,0.0,Male,0
33969,2022-07-21 04:25:44,Home,193,2,3198,Credit Card,27,0.0,Male,0
33969,2023-07-05 15:01:04,Clothing,473,3,2881,Credit Card,27,1.0,Male,0
42650,2020-10-18 23:38:52,Books,127,5,3347,Cash,20,0.0,Female,0
42650,2020-05-17 17:02:36,Home,284,2,3531,Credit Card,20,1.0,Female,0
42650,2022-03-18 13:52:08,Electronics,256,2,3548,Credit Card,20,0.0,Female,0
42650,2021-04-21 07:58:37,Clothing,252,2,1775,Credit Card,20,1.0,Female,0
42650,2022-01-26 12:50:30,Electronics,105,2,3721,Credit Card,20,0.0,Female,0
42650,2020-11-11 07:19:18,Electronics,193,2,3266,PayPal,20,1.0,Female,0
42650,2023-04-29 23:31:47,Home,43,1,2312,Cash,20,0.0,Female,0
42650,2022-07-04 16:04:01,Home,30,5,642,PayPal,20,1.0,Female,0
42650,2021-08-01 05:27:13,Electronics,30,3,5024,Credit Card,20,1.0,Female,0
42650,2020-05-24 06:45:48,Electronics,307,3,973,PayPal,20,0.0,Female,0
42650,2022-03-24 00:05:26,Electronics,254,1,3865,PayPal,20,0.0,Female,0
42650,2022-09-02 04:00:49,Books,12,3,3112,Cash,20,1.0,Female,0
42650,2021-11-14 10:23:14,Books,66,3,250,PayPal,20,1.0,Female,0
24053,2020-11-17 13:14:27,Electronics,102,2,5206,Credit Card,53,1.0,Male,0
24053,2021-05-07 09:54:22,Books,187,5,629,PayPal,53,1.0,Male,0
24053,2022-09-07 05:06:52,Books,86,1,843,Credit Card,53,1.0,Male,0
24053,2020-07-05 06:30:39,Electronics,364,3,1008,Credit Card,53,0.0,Male,0
