Customer ID,Books,Clothing,Electronics,Home
1,5148,385,757,0
2,4693,679,6383,4726
3,0,1394,6857,1172
4,4321,2253,823,429
5,6987,0,0,2782
6,8591,3860,8459,4518
7,7664,1262,5570,3329
8,3099,4021,5679,3446
9,11312,2758,8389,2162
10,7522,0,13150,0
11,1659,3458,7912,4701
12,4811,1109,4765,6071
13,4310,8153,0,1335
14,3005,4603,6511,0
15,5066,3275,5045,3147
16,5828,0,0,1368
17,3451,6483,4996,8038
18,3620,0,0,1239
19,0,1515,3493,7224
20,4934,7983,0,4526
21,2655,3529,4414,0
22,4032,5000,5105,0
23,0,6664,1320,10749
24,3009,3005,1829,3570
25,2293,4193,0,3390
26,4536,4449,0,860
27,2875,0,5040,4639
28,5189,11576,0,0
29,7494,1918,0,3828
30,3339,0,2525,2183
31,7512,4511,4407,0
32,1125,3842,6986,0
33,13479,8314,3194,0
34,0,0,658,0
35,13485,0,10689,0
36,4994,3209,0,2904
37,5064,335,8059,2099
38,4521,0,3830,3086
39,2090,9146,3806,5909
40,0,4507,8903,3043
41,4883,2916,0,17942
42,3420,2405,4280,8826
43,0,9167,0,8197
44,0,3926,2297,5704
45,10789,0,7186,5334
46,3859,4147,7196,7334
47,1030,5767,1038,10672
48,0,3027,0,8956
49,0,6868,0,0
50,7647,3208,0,740
51,10821,1641,12206,5101
52,3715,6573,4079,4386
53,0,2720,6182,0
54,749,2969,1779,9504
55,6129,927,8061,0
56,1054,3046,2599,4900
57,2120,11380,3634,0
58,3693,1736,0,1530
59,0,11904,11833,3251
60,6850,4864,2683,5406
61,0,0,4886,1502
62,0,11855,0,0
63,6300,5013,7801,3995
64,0,1677,0,4943
65,0,1647,4466,6291
66,0,7054,10991,0
67,0,3227,2042,0
68,5502,0,0,5140
69,3715,4645,0,262
70,2824,9680,6508,5062
71,0,0,984,1556
72,1895,6570,3443,5244
73,0,1236,0,4224
74,0,0,5084,4307
75,0,7176,0,0
76,0,0,8123,0
77,1107,3388,0,0
78,10920,0,0,0
79,0,4596,0,2470
80,2742,3309,8584,8013
81,3502,0,0,9258
82,1111,0,1495,4343
83,2398,4105,1952,7756
84,0,1895,662,0
85,12722,366,151,3662
86,1922,6351,2438,1412
87,0,0,2113,3323
88,2768,5374,0,2993
89,12741,1012,1361,3247
90,0,2310,8482,3988
91,0,6226,5074,3516
92,0,8898,0,2886
93,590,4709,4726,0
94,11177,1310,686,2205
95,7939,1797,0,0
96,4401,2214,14236,2130
97,0,5569,1067,0
98,5981,4942,1846,8181
99,0,2229,8982,0
100,10031,2518,3584,3817
101,4530,2489,15966,4375
102,1259,0,0,0
103,4238,8607,6463,4769
104,4440,0,4788,4620
105,5178,0,2352,0
106,3351,0,181,4779
107,1819,6574,0,0
108,9007,10806,3731,7842
109,5255,0,9134,4121
110,0,480,3078,0
111,0,0,7215,2477
112,0,0,1537,2841
113,1294,3394,0,2640
114,4800,4049,2499,220
115,4156,653,3645,5016
116,2943,4457,706,3619
117,14174,5629,2327,0
118,1914,4438,0,11402
119,5274,3021,0,9719
120,0,2595,1750,6125
121,6772,0,2145,4698
122,6160,3574,3355,5015
123,0,3350,0,9479
124,1552,756,0,0
125,7158,8448,0,1891
126,4428,3113,0,5139
127,3872,0,0,0
128,0,0,0,3931
129,959,2339,676,10553
130,0,8328,3507,4014
131,4850,707,0,1111
132,0,0,4260,5831
133,0,11560,11365,2800
134,5461,0,4103,2780
135,6293,0,7183,0
136,5835,4015,3714,9326
137,9231,851,4254,9798
138,0,2907,0,0
139,6123,0,0,8913
140,0,4765,0,3465
141,6516,5520,0,14359
142,2321,0,1863,0
143,11540,6822,0,4143
144,2901,5970,5093,3589
145,1927,6629,2188,15688
146,4497,4960,0,0
147,7051,3587,3839,0
148,0,2222,4284,0
149,2702,262,2723,12226
150,0,0,0,1743
151,4602,1121,484,4553
152,0,14097,0,0
153,513,11741,6144,0
154,10182,0,12497,8488
155,3560,2731,11129,0
156,0,0,1770,14945
157,0,2999,10427,10393
158,1007,2993,0,3295
159,1641,0,0,2750
160,0,8840,0,0
161,3669,6009,8568,0
