Customer ID,Recency,Frequency,Monetary,Avg_Order_Value,Total_Quantity,Return_Rate,Churn,Age,Gender,R_Score,F_Score,M_Score,RFM_Score,Segment
1,289,3,6290,2096.6666666666665,15,0.0,0,67,Female,2,1,1,4,Hibernating
2,73,6,16481,2746.8333333333335,18,0.6666666666666666,0,42,Female,4,4,4,12,Loyal / High Value
3,223,4,9423,2355.75,15,0.0,0,31,Male,3,2,2,7,Potential Loyalists
4,442,5,7826,1565.2,19,0.6,0,37,Male,1,3,2,6,At Risk
5,425,5,9769,1953.8,13,0.6,0,24,Female,2,3,2,7,Potential Loyalists
6,141,9,25428,2825.3333333333335,27,0.5555555555555556,0,34,Female,3,5,5,13,Champions
7,142,8,17825,2228.125,28,0.375,1,22,Male,3,5,4,12,Loyal / High Value
8,26,7,16245,2320.714285714286,25,0.7142857142857143,0,66,Male,5,4,4,13,Champions
9,141,7,24621,3517.285714285714,19,0.42857142857142855,0,39,Female,3,4,5,12,Loyal / High Value
10,131,8,20672,2584.0,26,0.25,0,49,Female,4,5,5,14,Champions
11,103,8,17730,2216.25,23,0.5,1,67,Male,4,5,4,13,Champions
12,114,7,16756,2393.714285714286,20,0.0,0,31,Male,4,4,4,12,Loyal / High Value
13,259,5,13798,2759.6,19,0.2,0,60,Male,2,3,3,8,Potential Loyalists
14,264,5,14119,2823.8,15,0.2,0,42,Male,2,3,3,8,Potential Loyalists
15,82,5,16533,3306.6,13,0.6,1,38,Male,4,3,4,11,Loyal / High Value
16,105,3,7196,2398.6666666666665,6,0.3333333333333333,0,67,Male,4,1,1,6,At Risk
17,103,8,22968,2871.0,29,0.125,0,32,Male,4,5,5,14,Champions
18,427,2,4859,2429.5,4,0.0,0,52,Male,2,1,1,4,Hibernating
19,518,5,12232,2446.4,15,0.6,0,37,Male,1,3,3,7,Potential Loyalists
20,77,4,17443,4360.75,10,0.5,0,42,Male,4,2,4,10,Loyal / High Value
21,266,5,10598,2119.6,12,0.2,1,20,Male,2,3,2,7,Potential Loyalists
22,14,5,14137,2827.4,11,0.0,0,40,Female,5,3,3,11,Loyal / High Value
23,135,7,18733,2676.1428571428573,24,0.2857142857142857,0,33,Female,4,4,4,12,Loyal / High Value
24,145,4,11413,2853.25,8,0.25,0,69,Female,3,2,3,8,Potential Loyalists
25,354,3,9876,3292.0,12,0.6666666666666666,0,18,Female,2,1,2,5,At Risk
26,185,3,9845,3281.6666666666665,10,0.3333333333333333,0,50,Male,3,1,2,6,At Risk
27,239,4,12554,3138.5,13,0.75,1,45,Female,3,2,3,8,Potential Loyalists
28,309,4,16765,4191.25,14,0.25,0,56,Male,2,2,4,8,Potential Loyalists
29,572,5,13240,2648.0,9,0.4,0,54,Male,1,3,3,7,Potential Loyalists
30,58,4,8047,2011.75,9,0.5,1,33,Female,5,2,2,9,Potential Loyalists
31,154,6,16430,2738.3333333333335,20,0.3333333333333333,0,50,Male,3,4,4,11,Loyal / High Value
32,864,5,11953,2390.6,17,0.6,0,39,Female,1,3,3,7,Potential Loyalists
33,487,7,24987,3569.5714285714284,28,0.42857142857142855,1,41,Male,1,4,5,10,Loyal / High Value
34,301,1,658,658.0,3,1.0,1,57,Male,2,1,1,4,Hibernating
35,270,8,24174,3021.75,22,0.625,0,65,Female,2,5,5,12,Loyal / High Value
36,26,4,11107,2776.75,13,0.25,0,38,Male,5,2,2,9,Potential Loyalists
37,33,8,15557,1944.625,24,0.5,0,52,Female,5,5,4,14,Champions
38,237,4,11437,2859.25,11,0.5,0,44,Female,3,2,3,8,Potential Loyalists
39,473,7,20951,2993.0,24,0.42857142857142855,0,36,Male,1,4,5,10,Loyal / High Value
40,278,6,16453,2742.1666666666665,19,0.5,0,32,Female,2,4,4,10,Loyal / High Value
41,235,7,25741,3677.285714285714,18,0.5714285714285714,0,70,Female,3,4,5,12,Loyal / High Value
42,20,6,18931,3155.1666666666665,18,0.16666666666666666,0,22,Female,5,4,4,13,Champions
