Month,Transactions,Unique_Customers,Revenue,Quantity,AOV
2020-01,5723,5411,15566765,17078,2720.0358203739297
2020-02,5364,5075,14660710,16189,2733.1674123788216
2020-03,5665,5363,15517357,17171,2739.162753751103
2020-04,5570,5297,15060419,16705,2703.8454219030523
2020-05,5724,5420,15517765,17106,2711.000174703005
2020-06,5512,5237,15062859,16712,2732.739296081277
2020-07,5743,5462,15575247,17235,2712.040222880028
2020-08,5886,5594,16190648,17865,2750.7047230716958
2020-09,5524,5236,15134038,16655,2739.6882693700218
2020-10,5757,5470,15758325,17377,2737.245961438249
2020-11,5570,5297,15281984,16650,2743.623698384201
2020-12,5737,5414,15551387,17186,2710.7176224507584
2021-01,5703,5379,15415212,16984,2703.000526038927
2021-02,5208,4931,14310637,15745,2747.8181643625194
2021-03,5619,5297,15386324,16885,2738.2673073500623
2021-04,5484,5209,14955947,16627,2727.196754194019
2021-05,5774,5425,15597852,17451,2701.3945271908556
2021-06,5568,5274,15103252,16790,2712.50933908046
2021-07,5789,5450,15811231,17172,2731.2542753498014
2021-08,5832,5496,15914473,17622,2728.8191015089164
2021-09,5572,5277,15174689,16609,2723.382806891601
2021-10,5698,5391,15514099,16984,2722.727097227097
2021-11,5398,5123,14725048,16361,2727.871063356799
2021-12,5758,5445,15763717,17411,2737.707016325113
2022-01,5710,5398,15470148,17162,2709.307880910683
2022-02,5150,4888,13983870,15471,2715.314563106796
2022-03,5749,5429,15720795,17273,2734.526874238998
2022-04,5611,5301,15266338,17094,2720.787381928355
2022-05,5741,5397,15737762,17198,2741.292806131336
2022-06,5567,5252,15295853,16622,2747.5934973953654
2022-07,5854,5541,15997688,17556,2732.778954560984
2022-08,5674,5361,15304484,17056,2697.300669721537
2022-09,5472,5198,14876278,16377,2718.6180555555557
2022-10,5596,5301,15322821,16744,2738.1738741958543
2022-11,5722,5386,15597636,17185,2725.90632645928
2022-12,5739,5424,15771054,17347,2748.0491374803973
2023-01,5746,5423,15749833,17215,2741.0081796032023
2023-02,5159,4913,14095137,15364,2732.1451831750337
2023-03,5805,5486,15731269,17338,2709.951593453919
2023-04,5473,5186,14934746,16390,2728.8043120774714
2023-05,5755,5446,15680601,17409,2724.691746307559
2023-06,5485,5199,14824102,16481,2702.662169553327
2023-07,5647,5354,15203585,16959,2692.329555516203
2023-08,5768,5456,15654307,17230,2713.992198335645
2023-09,2399,2341,6578007,7193,2741.9787411421426
